q_id,processed_query
1954,"здравствуйте, как снова зайти в онлайн банк. ввожу номер телефона, пишет некорректный номер"
1955,"здравствуйте, где мне найти бик?"
1956,опять нету уведомления
1957,"здравствуйте, хочу узнать состояние кредитной карты"
1958,почему недоступны кредитные деньги?
1959,почему при вводе номера и карты смс приходит на другой телефон?
1960,вопрос по кешьэку
1961,здравствуйте. почему мне не приходят уведомления о пополнении счёта?
1962,"я получил внж, ранее в банке сообщили, как получу смогу переводить по номеру телефона сбп. сюда направить можно свой внж?"
1963,скажите поступали средства на мой кредитный счёт?
1964,начисление
1965,кэшбэк июнь
1966,поменяла номер телефона сегодня. не приходит смс на новый номер
1967,"здравствуйте, подскажите, у меня были кредитный лимит на картах, я его истратил, долг закрыл , новый кредитный лимит будет на них появляется ?"
1968,можно ли esim перенести на другой телефон?
1969,где он находится
1970,пуш
1971,когда обновится номер?
1972,"где посмотреть бик ,счет и к с получателя"
1973,начисление кешбек
1974,как сменить реквизиты счёта
1975,как узнать бик
1976,"добрый день! оформила онлайн кредит, что то нет открытого кредитного счета?"
1977,где узнать бик банка
1978,"здравствуйте,на какой номер позвонят по поводу кредитной карты?"
1979,как получить банковские реквизиты с отметкой банка?
1980,почему перевод через предложения только через смс ? раньше приходил пуш код и все
1981,офис альфа банк рядом
1982,все что есть
1983,гузель я не могу найти в приложении нужный счет ???
1984,где ее посмотреть
1985,доброе. списалось. уведомление только не ушло
1986,подключить
1987,начисленный кешбек?
1988,здравствуйте! как привязать стик к определенной карте?
1989,здравствуйте что такое альфа чек и почему у меня списало 00 рублей ?
1990,работает ли карта альфа банка на шри данке
1991,сменить пароль для входа
1992,где его увидеть?
1993,риквизит
1994,готова до конца недели внести ежемесячные платежи по кредиту и кредитной карте
1995,"здравствуйте! выше я просила помочь разобраться с кэшбеком и его сохранением . напоминаю, что ожидаю ответ. спасибо!"
1996,о у меня отключены уведомления почему смс стали приходить?
1997,кешбек от тебоил
1998,данные для полных реквизитов перевода
1999,номер данной карты
2000,вы поменяете телефон?
2001,"скажите про какие деньги идёт речь , сообщение пришло что мне зачислять деньги"
2002,"здравствуйте, вчера оформила детскую карту, сегодня пыталась прикрепить ее к отдельному счету и карта в приложении перестала отражаться"
2003,добрый день. есть вопросы по начислению кэшбэка.
2004,оформлял кредит скачал приложение кредите отказали карту оформили но не выдали в приложении она есть
2005,мне нужен счет карты моей
2006,пришлите пожалуйста полное наименование банка
2007,"здравствуйте! мне пришло сообщение, что я сменила номер телефона. я номер телефона не меняла!"
2008,почему когда я подал заявку на кредитную карту одобренный лимит был 00000 т.р. а при выдачи карты 00000 т.р
2009,добрый день. когда уже пуш уведомления нормально заработают?
2010,"здравствуйте, я хочу уменьшить сумму кредитной карты погасить ее текущей суммой"
2011,где найти справку с реквизитами?
2012,запросить расчетный счет
2013,в связи с финансовыми трудностями
2014,"добрый день. нужно перевести деньги на сбербанк. требуется номер подтверждения. пуш уведомления подключил но не приходят. смс получить нереально так как нет сотовой связи, только интернет. почему не приходят пуш смс."
2015,почему не приходят смс о списании со счета
2016,продлить на 00 дней
2017,здравствуйте! получен кредит или не получен? как им пользоваться?
2018,почему этих денег нет у меня на счете?
2019,я не могу открыть номер карты
2020,не приходят смс про смене номера
2021,в мобильном приложении где находятся мои карты
2022,не меняется номер через настройки
2023,кэшбэк за покупки сколько по карте?
2024,нужны реквизиты куда будет приходить зарплата
2025,здравствуйте как узнать счет карты что бы перевести на неё зарплатную сумму
2026,доброе утро. пришла заработная плата. не было сообщений о зачислении. напишите причину пожалуйста
2027,как платить картой за такси?
2028,"добрый день, как вывести денежные средства со счета погашение кредита?"
2029,"я попросил кредит наличными на xxxxx. мне его одобрили, пришла смс, ничего не изменилось с одобрением?"
2030,я зайду в отделение банка для прояснения ситуации
2031,мне срочно нужны реквизиты по этой операции
2032,я в отделении альфа банка на большой грузинской 00 xxxxx. как я могу получить консультацию? тут никто ко мне не подходит
2033,0 месяц
2034,не удалось получить реквизиты карты. попробуйте позже
2035,на какие карты подключено уведомления
2036,"я не подключала уведомления, а обслуживание карты обещали бесплатно!"
2037,остаток счета
2038,здорово! вопрос про безлимитный кэшбэк
2039,я хочу долг кредитной карты перевести в кредит
2040,смс по счёт для кредитной карты не приходит! напишите мне его в этом чате!
2041,здравствуйте хочу перенести номер телефона мужа на альфа мобайл сим карта на меня оформлена мы можем через его аольфа онлайн запросить на перенос карты
2042,здравствуйте ещё раз подскажите пожалуйста как сделать чтобы получить смс уведомление а не пуш уведомление
2043,куда он делся
2044,оплатили кредит но не отображается в приложении
2045,"не через какое сбп я не платил, я платплатил альфа картой без сбп и жду 0 кэшбэк."
2046,где мне посмотреть бик банка
2047,по возможности хочу оставить тот же номер карты и данные
2048,"здравствуйте, михаил . да, в отделении москва, метро беляево"
2049,"вот я открыла это счет , показать реквизиты"
2050,"когда будет уменьшение основного долга по кредитной карте, а не проценты?"
2051,хочу подключить чтоб оплачивать по телефону
2052,весь ваш кэшбек
2053,здравствуйте как можно поменять порол?
2054,подключить опции
2055,запись в отделение для открытия вклада
2056,сколько у меня открыто кредитных карт
2057,"здравствуйте. почему уведомления не приходят на телефон, который указан в настройках личного кабинета? была замена телефона."
2058,здравствуйте. мне нужно отключить входящие переводы по номеру телефона от клиентов альфа банка. чтобы они не могли переводить мне по номеру телефона.
2059,"оплатить очередной счёт, не могу найти реквизиты для оплаты"
2060,"в какое отделение я могу подойти, чтобы мне дали реквизиты для оплаты комиссии банка ?"
2061,полное название банка
2062,где узнать корреспондентский счет карты
2063,когда сумма с основного счета будет зачислена на кредитный?
2064,я могу разделить долг на части?
2065,"здравствуйте, не приходят уведомления от приложения о движениях по карте"
2066,wow бонус
2067,держателя карты
2068,при закрытии кредите на карте были деньги плюсом . верните деньги на дебетовую карту.
2069,"михаил, почему мои сообщения, на которые я хочу получить ответ не доставляются????? вы не можете на них ответить? неудобный вопрос?????"
2070,кредитные обязательства
2071,кэш же на июнь 00 за такси
2072,"да нужно. чтоб подтвердить код, обязательно ли звонить? или можно попробовать получить его смской позже, когда устранят ошибку?"
2073,почему код подтверждения приходит на старый моб. телефон
2074,расчетный счет кредита
2075,у меня уже имеется одобрение
2076,смс
2077,как скопировать номер счета
2078,"добрый день. недавно возникла проблема перестали приходить смс уведомления об операциях. являюсь зарплатным клиентом, в настройках уведомления включены."
2079,почему не отображается сумма кредитной карты?
2080,где проверить статус заявки
2081,можно ли привязать к разным картам разные телефоны в сбп
2082,почему кредит не приходит на дебиторской карту
2083,можно ее увидеть?
2084,вы не ответили на мой вопрос по кеш беку
2085,"а если у друга есть карта но нет стикера это будет считаться за то что я посоветовала стикер ,"
2086,офис в моем городе
2087,"здравствуйте, если я запишусь в банк,меня должны принять по времени?"
2088,кнопка подтвердить новый номер недоступна
2089,"здравствуйте, вчера хотел расплатиться, что то покупал, ехал 0 часа в другой город, как доехал не смог расплатиться, все банки работали кроме альфы, а деньги были на альфе, получается потерял 0 часа впустую"
2090,добрый день. как получить справку с реквизитами счета
2091,"здравствуйте, 0. хочу ребенку заказать детскую карту,какие условия по карте. 0. к детской карте можно привязать стикер?"
2092,"мне надо, чтобы кэшбэк 0 начислился"
2093,как посмотреть все счета?
2094,здравствуйте когда я пытаюсь зайти выдаёт ошибку и так каждый раз когда я пробовал пароль верный
2095,"здравствуйте, потеряла карту, но нужны те же реквизиты что и на старой"
2096,какое расчётное число кредитной карты?
2097,как посмотреть все мои счета в банке?
2098,подключено ли сбп
2099,а по sms присылаете?
2100,почему у меня недоступен счет на кредитной карте?
2101,здравствуйте. почему на мой телефон не приходят оповещения об операциях.
2102,карточка с реквизитами счёта
2103,займ почему до сих пор отображается в приложении?
2104,добрый день. у меня сейчас задолженность. я не могу ее оплатить . можете пожалуйста пойти на встречу
2105,что значит доступно на кредитке
2106,как ознакомиться с актуальной ценой без посещения отделения банка?
2107,"здравствуйте! я открыла кредитную карту, подскажите, пожалуйста, когда она появился в личном кабинете и когда можно начать пользоваться?"
2108,могу ли я в течение лета вернуть долг?
2109,сбп либо номер карты
2110,как сменить номер сбп
2111,раздел приведи друга
2112,когда будет готова карта? изменяться ли реквизиты?
2113,"здравствуйте, какой бик по карте?"
2114,где посмотреть все счета которые есть
2115,узнать кэшбэк
2116,не могу посмотреть реквизиты карты. пишет попробуйте позже
2117,доброе утро. у меня подклечена услуга .зарплата каждый день.но уже как неделю смс уведомления не приходят для снятия денег.
2118,здравствуйте. как узнать расчётный счёт
2119,здравствуйте! мне нужно получить справку по счету с реквизитами для перевода зарплаты на карту альфа банка
2120,что за сообщение мне пришло?
2121,после снятии ограничение мая карта онулировано что ли? не могу её видеть в приложении
2122,"мне выпустили карту к семейному счету, почему я его не вижу в приложении?"
2123,узнать про перевод сбп
2124,здравствуйте. из приложения пропала моя кредитная карта. не вижу ее
2125,не показывает номер карты
2126,отключите пуш
2127,кат посмотреть мой профиль
2128,изменить номер для сбп
2129,по поводу кешбек за покупку авто
2130,"банк прислал мне сообщение, что заявка на рефинансирование уже одобрена!"
2131,счет номер где найти
2132,как узнать счет моей карты
2133,я заказывала кредитную карту
2134,"здравствуйте. скажите, пожалуйста, как проверить, сколько у меня открытых счетов?"
2135,как отключить сообщения по номеру телефона
2136,здравствуйте почему кредитная карта не доступна
2137,где увидеть счёт банка получателя
2138,как оплатить без пуша
2139,как узнать код пароль при регистрации
2140,где посмотреть ближайший банк
2141,как видит реквизиты
2142,как найти номер расчётного счёта?
2143,"здравствуйте,как узнать мой счёт для зачисления денег?"
2144,последнее уведомление
2145,кеш блэк в июне
2146,мой кэшбек
2147,бик этого банка
2148,для нпф нужна справка о реквизитах лицевого счета
2149,можно ли чтобы терминал от альфа банк работал от сим карты и где ее взять?
2150,кокай лимит будет по кредитной карте
2151,мне не нужно пуш или смс. нужны только смс
2152,другой номер карты
2153,подключить кэшбек
2154,полные реквизиты
2155,мой расчетный счет
2156,кэшбэк за проезд
2157,где они?
2158,где посмотреть
2159,"мне сегодня пришли эти сообщения, что это значит?"
2160,"здравствуйте. когда оформляла карту, было написано что при покупке по карте от трех тысяч рублей, мне придет тысяча. это так?"
2161,как перейти с push на sms уведомления.
2162,"здравствуйте, в каком разделе я могу найти свой банковский счет?"
2163,здравствуйте я получила доп карту стикер с сотрудником банка мы ее активировали но она не появляется в моей программе я могу ей пользоваться? почему ее нет?
2164,узнать реквизиты отправителя входящего перевода
2165,здравствуйте! отвечаю на вопрос про кэшбек 0 в кафе и рестораны
2166,хочу узнать о кэшбэке по определенной операции
2167,мне нужно сейчас номер счёта
2168,как мне продлить на 00 дней если система не дает
2169,отвязать от сбп
2170,вывести свои средства
2171,кэшбэк здоровье
2172,а полный номер карты
2173,узнать срок
2174,р с банка еще нужно и где найти лицевой счет
2175,карты так и нет и смс тоже
2176,как узнать сколько карт привязаны к счету ?
2177,реквизиты семейного счета где найти
2178,последний срок кредитной карты
2179,не пришли деньги на кредитный счет
2180,ошибка в компенсации
2181,"а почему я должна еще и за комиссию платить, переведя свои деньги с кредитки?"
2182,номер счета в банке
2183,даже смс не отправить
2184,какие уведомления подключены
2185,пропала кредитная карта из моего приложения
2186,"скажите пожалуйста, у меня карта мир?"
2187,что за сообщения
2188,почему вчера не пришло смс уведомление о покупке !?!?!?
2189,"я не знаю счет, мне нужно его узнать по номеру карты"
2190,карту закрыла. почему ее видно в приложении?
2191,как работать
2192,добрый вечер! я занимал кредит 00.000 т. р. должен каждый месяц обязательно платить. но на какую карту?
2193,когда кредитка появится в моем личном кабинете?
2194,в моих продуктах ничего не отображается
2195,номер счëта
2196,какой у меня бик
2197,операция по переводу за 00 и до 00 числа за ноябрь на сумму 00 т рублей
2198,здравствуйте. я сегодня оформила кредит. смогу ли я разблокировать карту если кредит поступит на заблокированную карту?
2199,почему у меня подключены услуги уведомления по переводу?
2200,можно удалить виртуальную карту с экрана?
2201,"нужен бик , инн , и номер счета"
2202,как проверить какой номер привязан карте
2203,кеш бек за покупки
2204,когда мне будут доступны деньги с кредитной карты?
2205,номер карты нужен мне
2206,номер карты
2207,как узнать свой бик
2208,а когда их рабочее время?
2209,бонусные деньги
2210,касса работает по графику отделения банка?
2211,я пополнил но все равно смс неприходит
2212,запретить перевод по номеру телефона
2213,где посмотреть номер счета дебетовой карты для перечисления с другого банка по реквизитам?
2214,как узнать номер расчетного счета
2215,почему не приходят уведомления о трате и пополнении денег на детскую карту
2216,не хотелось бы сидеть 00 минут вводить и проверять реквизиты счета
2217,"у меня кредитная карта одобрена, а она не показывается в приложении"
2218,кэшбек альфа тревел
2219,да гарантируем оплату xxxxx
2220,какой кредит мне одобрен?
2221,как узнать лицевой счет
2222,0. большие нагрузки кредитов
2223,скан реквизитов
2224,где увидеть номер счёта карты
2225,нужны реквезиты
2226,номер карты кредитной
2227,здравствуйте! я хочу чтобы доставили стикер
2228,"добрый вечер, до какой даты действует моя карта?"
2229,как перевести деньги с кредитки которые сверхлимита?
2230,xxxxx кэшбэк ??
2231,"здравствуйте, я ранее обращалась по поводу того, что у меня не отображается карта в приложении и я не могу узнать её реквизиты, чтобы закрыть на ней отрицательный баланс и закрыть карту"
2232,а куда пропала моя кредитная карта?
2233,кэшбек и сервисы
2234,на свой счёт карты делала кредиткогда он будет или придет он
2235,мои карты
2236,какие у меня счета вашем банке?
2237,"как открыть реквизиты , если формат файла не понятный"
2238,мне непонятно какой номер счета у меня
2239,почему я не вижу свои кредитные карты?
2240,кэшбэк в универсальнлм тарифе
2241,какие у меня кредитные счета?
2242,задержали зарплату
2243,как узнать номер расчетного счета
2244,подключить кешбек
2245,меня интересует кэшбек за транспорт
2246,программа лояльности для физических лиц
2247,здравствуйте. вопрос по сервису кешбек.
2248,"как узнать счёт получателя данной дебетовой карты 0000, для того чтобы сделать перевод с л ч юридического лица?"
2249,а полностью реквизиты где бик и корпоративный счёт
2250,"когда поступят деньги, которые оформлены в кредит"
2251,как проверить оплату по сбп
2252,"проверьте пожалуйста, подключены ли у меня сбп"
2253,что там по моему бонусу?
2254,обслуживание в офисе
2255,я хочу устроится на работу и меня просят ввести данные расчётный счёт где их взять
2256,добрый день! можно ли настроить только смс уведомления без пуш
2257,кешбек потраченный на прокрутку барабана дополнительно
2258,получить временный пароль
2259,подтвердить номер телефона
2260,"было предложение от банка, удалил нечаянно. где найти?"
2261,нужны часы работы
2262,на счёте осталось какая то сумма как её вывести
2263,"мне нужны реквизиты моего счета, в pdf файле, не справкой"
2264,добрый день! вопрос о начислении кэшбека
2265,здравствуйте почему не доступна услуга перевода по номеру телефона на мою карту ?
2266,кредит наличными на любые цели. в течении какого времени я смогутполучить деньги?
2267,"здравствуйте, хочу узнать состояние счёта зарплатной карты"
2268,карта реквизит нужна
2269,добрый день. нужна история операций за три года по кредитным картам.
2270,не появляется кредитная карта
2271,проверка на кредиты
2272,мне нужно найти несколько переводов от меня получателю на сумму 0000 как это отфильтровать?
2273,"получение пр победы, 00 , в отделении банка"
2274,при закрытии счёта какими способами я могу вывести средства?
2275,можно узнать условия договора?
2276,как добавить мои телефонные контакты?
2277,добрый день. почему мне не приходит оповещение о пополнение ?
2278,"почему мне пишут что я сменил номер телефона, я ничего не менял!!!"
2279,счета и карты
2280,сервисы альфа банк что это
2281,"здравствуйте можно сменить номер телефона,потерял сим карту"
2282,здравствуйте! заказала кредитную карту могу ли уже сейчас пользоваться деньгами?
2283,"татьяна, а где ссылка в смс?"
2284,"просьба перевести собственные средства со счета деньги в рассрочку, и закрыть данный счет"
2285,где посмотреть счет привязанный к карте
2286,как сделать карту что бы получать пенсию
2287,"как запланировать встречу в банке, если нужного города нет в списке?"
2288,подключите мне чтоб я мог заходить в альфа лаунжы в аэропортах
2289,"ранее все получалось, сейчас не приходит смс"
2290,"инн, бик банка"
2291,вы отключили услугу
2292,отмените заявку на смену номера
2293,где это отображается
2294,swift карта
2295,есть ли в беларуси отделения альфа банка?
2296,у меня карта подключена
2297,"здравствуйте, заказал альфа карту кредитную, я могу пользоваться деньгами до получения карты?"
2298,мне нужен номер моего полиса альфа драйв
2299,файл с реквизитом карты
2300,бик
2301,ничего не отображается в приложении по детской карте
2302,записть на прие м в банк
2303,поменять смс на пуш
2304,не пришли деньги по кредиту
2305,"здравствуйте. почему при переводе денег себе высвечивается не мой номер, а вообще не известный?"
2306,а можно продлить с 0 дней кредита до 00 дней?
2307,подписки по кешбеку
2308,скажите пожалуйста как войти в а деньги? если не приходит смс с восстановление пароля
2309,кешбэк за поездки
2310,"здравствуйте, сегодня зашел в банк и не обнаружил кредитный счет, куда он делся?"
2311,почему он не показывает
2312,почему у меня уведомления о балансах о переводах мне не приходит
2313,мои текущие счета
2314,номер расчетного счета
2315,счета
2316,"добрый вечер, не дает узнать реквизиты карты пишет что телефон изменился. но он у меня остался тем же, просто раньше был оформлен на юр лицо, а сейчас физическое на меня"
2317,прошу закрыть стикер и детские карты
2318,узнать бик и корреспондентский счет
2319,о кэшбэк за май месяц
2320,я оформил у вас только что кредитку
2321,почему отображается карта
2322,где их можно посмотреть?
2323,кэшбэк за операцию
2324,для бухгалтерии моего работадатеоя нужны будут данные альфа банка
2325,здравствуйте. какие у меня есть счета и карты?
2326,срок действия одобрения по кредиту
2327,"нет, это счет другого человека, привязан к моему номеру телефона"
2328,"открыл кредитную карту, буду заберать ее в понедельник, но где счет?"
2329,г. черкесск это россия. по какому адресу там офис?
2330,"добрый вечер, как настроить детский стикер, для переводов по номеру телефона ?"
2331,оформляли кредит не приходит смс
2332,мой новый номер будет действовать на сбп?
2333,бик банка
2334,отключить переводы на карту по сбп
2335,"как посмотреть счет на который, погасить долг"
2336,где смотреть
2337,у меня не отображаются данные по кредиткам
2338,справки и реквизиты
2339,где он отображается ?
2340,сколько у меня счетов
2341,не вижу денег на карте
2342,необходимо получить справку реквизитов с печатью банка
2343,кэшбэк 00 на продукты
2344,почему нет доступного лимита?
2345,у меня подключено
2346,мои карты
2347,не вижу свой расчетный счет
2348,смс придёт или пуш?
2349,срок кредита
2350,смс не могли прислать?
2351,добрый день. не приходит код для оформления кредита как пуш уведомление.
2352,нет этого на экране
2353,я заказала кредитную карту. когда появится счёт этой карты?
2354,здравствуйте. зачем ехать в офис?
2355,счёт карты хочу получить в виде документа
2356,прошу предоставить отсрочку для полного погашения кредитной карты. ожидаю поступления средств на след неделе
2357,"записать меня в офис альфабанка, что бы получить справку"
2358,здравствуйте я забыл пароль от входа хочу поменял пароль что делать
2359,нужно найти телефона который привязан ваш банк
2360,где посмотреть бик банка
2361,как поменять номер в спб
2362,доброго утра перевод сбп не могу найти в приложении. поможете?
2363,"здравствуйте! как сменить пароль, если забыла текущий?"
2364,это полные реквизиты? их достаточно для получения заработной платы?
2365,кэшбэк по кредитке
2366,смс на номер телефона
2367,что делать если не получается войти в личный кабинет. пишет не корректный номер телефона
2368,какой мой счёт
2369,добрый день . есть возможность сделать международгую карту которая будет работать за границей? например альфа казахстан или еще что то?...
2370,не согласна с кешбеком
2371,"здравствуйте, при устройстве на работу просят выписку с реквизитами, это мне какую нужно не подскажите? справка о наличии счета это то?"
2372,почемукешбек не перечисляется на текущий счёт?
2373,"здравствуйте, не отображается перевод на 0000 рублей"
2374,мой расчетный счёт
2375,"добрый день . оплатила сейчас заказ , не вижу в истории оплаты"
2376,как подключить альфу карту
2377,"зачем вы оформляете новую? у меня к тому номеру карты привязано много выплат, которые нет возможности поменять"
2378,уточнить операции по карте
2379,какой у меня лимит у кредитки
2380,не отображается кредитные карты
2381,новая карта не отображается
2382,почему кредитные средства не доступны?
2383,"не знаю, он не отображается в приложении"
2384,так он у меня открыт я просто хочу его посмоиреть. где он
2385,в истории операции уже нет.
2386,"на всех картах и какое количество карт у меня есть, можно предоставить информацию полную"
2387,счета по кредиту
2388,"не отображается платёж, деньги списали"
2389,"а он отобразится в вкладе, где написано 00 августа начислим столько то"
2390,как найти расчетный счёт
2391,не отображается операция
2392,посещение банка
2393,"здравствуйте. как сделать ,чтобы быстро переводить контактам ,которым я часто перевожу деньги?"
2394,посмотреть все мои счета
2395,как узнать свой лицевой счёт
2396,"здравствуйте, я перечислила xxxxx перекиньте, пожалуйста, на карту, куда надо было перевести эту сумму"
2397,можно ли сделать так что бы номер был другого человека а данные мои?
2398,"да где найти то их?? понятно, что в приложении, где конкретно??"
2399,мне нужен расчётный счет на почту
2400,узнать расчетный счёт
2401,нет истории по кредитке.
2402,сколько ждать ответ по вопросу о рефинансировании
2403,зачисление средств
2404,где найти расчетный счёт
2405,посещение
2406,"здравствуйте, можете пожалуйста проверить, могу ли я уже оформить кредитную карту или все еще нет?"
2407,как узнать номер счета
2408,история приведенных друзей
2409,последние операции
2410,мне интересно когда вернётся остаток на счёт
2411,куда его перевели
2412,"здравствуйте! мне одобрили кредит, как мне записаться в отделение на завершение?"
2413,"здравствуйте, как узнать номер счета карты?"
2414,доступ к кредитной карте
2415,как узнать бик и расчетный счёт
2416,здравствуйте была в банке г. хабаровск муравьева амурского могла забыть терминал как как с ними связаться
2417,"кешбек за перелёты январь, февраль и апрель"
2418,"здравствуйте. как можно повторить платёж из истории, чтобы не заполнять все реквизиты?"
2419,не видно карту в приложении
2420,уведомлкния
2421,расчётный счёт карты
2422,где найти расчетный счет
2423,я не про это при переводах или оплатой картой снимается с кредитной карты поменяйте на дебетовую
2424,если номер утерян?
2425,"я оформил карту кредитную и не вижу ее в своих счетах , почему ?"
2426,срок действия какой
2427,дополнительный кэшбек
2428,оповещение о любом списании
2429,узнать до какого года карта
2430,какой у меня счёт получателя?
2431,"какой бик банка и счёт, куда мне должны перевести деньги за товар?"
2432,не приходит sms об операциях они для меня бесплатные?
2433,где посмотреть мои данные
2434,"здравствуйте , я оформляла кредит наличными под залог недвижимости , сегодня вот третий рабочий день"
2435,камисия за банковские услуги?
2436,у меня высвечивается кредитная карта
2437,почему не работает раздел пуш уведомление
2438,как вернуть деньги на а деньги?
2439,я хотел получить
2440,какие у меня счета
2441,в истории платежи по данному контрагенту
2442,"здравствуйте, не приходят деньги кредитный"
2443,лицевой счёт карты
2444,получение реквизитов
2445,где его установить
2446,где найти сбп платеж
2447,за месяц
2448,вопрос по кэш
2449,есть для меня приветегии по такси ?
2450,когда отразится в истории? ответьте по существу пожалуйста
2451,где посмотреть в приложении. оформленный кредит?
2452,операции за март 0000 года
2453,"а почему реквизитов карты нет кредитной ? я ей пользоваться не могу , оплатить что то"
2454,"спасибо за обратную связь,мне будет удобно запланировать визит в банк"
2455,в вк отключила. а смс всё равно не приходят
2456,вопрос по кэшбэк
2457,"лермонтовский просп., 00, корп. 0, москва"
2458,личные данные
2459,я отерыл кредитную карту а онв не отобрадается?
2460,здравствуйте. где узнать свой расчётный счет?
